"","Origin","Destination","Intercept","Slope","p-value","R^2","2020","2030","2040","2050","2060","2070"
"132","Sudan","Lebanon","-1342","144.99","0.13779620812574","0.574211143298928",7357.4,8807.3,10257.2,11707.1,13157,14606.9
"133","Sudan","Saudi Arabia","-18654.8","5628.71","0.00980390896452541","0.920215186692095",319067.8,375354.9,431642,487929.1,544216.2,600503.3
"134","Spain","Switzerland","71412","1321.82","0.42070371341316","0.224008969876915",150721.2,163939.4,177157.6,190375.8,203594,216812.2
"135","Spain","Australia","7684.2","191.58","0.207731403082025","0.460683271069267",19179,21094.8,23010.6,24926.4,26842.2,28758
"136","Spain","Canada","11137","94","0.631200961606076","0.0864028662126716",16777,17717,18657,19597,20537,21477
"137","Spain","Germany","137719","501.039999999999","0.856697638580444","0.012721360359404",167781.4,172791.8,177802.2,182812.6,187823,192833.4
"138","Spain","United Kingdom","23438.6","802.1","0.0218858154135985","0.865343132807633",71564.6,79585.6,87606.6,95627.6,103648.6,111669.6
"139","Spain","United States","51021.6","1882.73","0.00316017677984347","0.962160450345068",163985.4,182812.7,201640,220467.3,239294.6,258121.9
"140","Spain","Turkey","6.39999999999998","17.19","0.328293486051858","0.311423939679707",1037.8,1209.7,1381.6,1553.5,1725.4,1897.3
"141","Spain","France","416157","-1842.69","0.859571696140303","0.0122141233434826",305595.6,287168.7,268741.8,250314.9,231888,213461.1
"142","Spain","Japan","-271.4","39.72","0.0309929442614146","0.831489629031544",2111.8,2509,2906.2,3303.4,3700.6,4097.8
"143","Sri Langka","United Arab Emirates","-381.8","77.83","0.00725873687483628","0.934504714309023",4288,5066.3,5844.6,6622.9,7401.2,8179.5
"144","Sri Langka","Qatar","-1206.8","165.1","0.0356171766651763","0.815791615305354",8699.2,10350.2,12001.2,13652.2,15303.2,16954.2
"145","Sri Langka","Oman","-2029.40000000001","698.16","0.0143721167459534","0.897541404085279",39860.2,46841.8,53823.4,60805,67786.6,74768.2
"146","Sri Langka","Switzerland","-6224.20000000001","738.87","0.104557998027674","0.639016768718946",38108,45496.7,52885.4,60274.1,67662.8,75051.5
"147","Sri Langka","Afghanistan","0.599999999999329","57.65","0.0139828118694857","0.899360350348479",3459.6,4036.1,4612.6,5189.1,5765.6,6342.1
"148","Sri Langka","Australia","-2734.80000000001","1284.55","0.00673891074144908","0.937629195590739",74338.2,87183.7,100029.2,112874.7,125720.2,138565.7
"149","Sri Langka","Canada","-7616.40000000001","1753.83","0.119588960172116","0.608615171800083",97613.4,115151.7,132690,150228.3,167766.6,185304.9
"150","Sri Langka","Germany","-10475.6","1373.43","0.0546138256557586","0.758406121890708",71930.2,85664.5,99398.8,113133.1,126867.4,140601.7
"151","Sri Langka","United Kingdom","18243.4","96.5599999999999","0.863305425548943","0.0115707603480576",24037,25002.6,25968.2,26933.8,27899.4,28865
"152","Sri Langka","United States","-3654","659.93","0.0132168094153926","0.902993898572419",35941.8,42541.1,49140.4,55739.7,62339,68938.3
"153","Sri Langka","Jordan","-2456.4","314.71","0.0428601410888858","0.792728608222789",16426.2,19573.3,22720.4,25867.5,29014.6,32161.7
"154","Sri Langka","Kuwait","-1896.2","308.66","0.0623956267024782","0.737353243897016",16623.4,19710,22796.6,25883.2,28969.8,32056.4
"155","Sri Langka","Lebanon","-833.800000000001","107.82","0.0420149362500834","0.79533536892733",5635.4,6713.6,7791.8,8870,9948.2,11026.4
"156","Sri Langka","Malaysia","2814","-2.78000000000005","0.974591401838691","0.000398289480571022",2647.2,2619.4,2591.6,2563.8,2535.99999999999,2508.19999999999
"157","Sri Langka","Saudi Arabia","-10411.8","3141.45","0.00980400903507011","0.920214652853545",178075.2,209489.7,240904.2,272318.7,303733.2,335147.7
"158","Sri Langka","France","2120.6","204.21","0.302309174558946","0.339776117067858",14373.2,16415.3,18457.4,20499.5,22541.6,24583.7
"159","Sri Langka","Japan","-790","107.28","0.0486207609053436","0.775483625858726",5646.8,6719.6,7792.4,8865.2,9938,11010.8
"160","Sri Langka","Singapore","777.6","37.84","0.378121091602346","0.261865772708582",3048,3426.4,3804.8,4183.2,4561.6,4940
"161","Myanmar","Australia","1108.4","242.56","0.00338139334361616","0.960428688780454",15662,18087.6,20513.2,22938.8,25364.4,27790
"162","Myanmar","Canada","-311.2","96.17","0.00742523795205108","0.933520739275573",5459,6420.7,7382.4,8344.1,9305.8,10267.5
"163","Myanmar","United Kingdom","15001.4","-256.05","0.14778827238175","0.556314597080605",-361.600000000002,-2922.1,-5482.6,-8043.1,-10603.6,-13164.1
"164","Myanmar","United States","-3849.20000000001","908.5","0.00714309450206705","0.935192806508701",50660.8,59745.8,68830.8,77915.8,87000.8,96085.8
"165","Myanmar","Malaysia","-1804.6","245.67","0.0579531341211021","0.749227441177357",12935.6,15392.3,17849,20305.7,22762.4,25219.1
"166","Myanmar","France","627.4","25.96","0.651416755105955","0.076937229680877",2185,2444.6,2704.2,2963.8,3223.4,3483
"167","Myanmar","Japan","-863.400000000001","104.04","0.08950507844918","0.67161699371821",5379,6419.4,7459.8,8500.2,9540.6,10581
"168","Libya","Qatar","226.2","11.09","0.571809231879318","0.117758447353051",891.6,1002.5,1113.4,1224.3,1335.2,1446.1
"169","Libya","Australia","-41.1999999999999","37.53","0.00409487767588363","0.955091212678233",2210.6,2585.9,2961.2,3336.5,3711.8,4087.1
"170","Libya","Canada","893.4","34.13","0.433391998600756","0.213463935556392",2941.2,3282.5,3623.8,3965.1,4306.4,4647.7
"171","Libya","Germany","-121.4","25.51","0.0808033432125774","0.691616074704217",1409.2,1664.3,1919.4,2174.5,2429.6,2684.7
"172","Libya","United Kingdom","1259.6","70.87","0.605575223127227","0.0992716243266702",5511.8,6220.5,6929.2,7637.9,8346.6,9055.3
"173","Libya","United States","-3997.2","767.9","0.0665712231867722","0.726515154784617",42076.8,49755.8,57434.8,65113.8,72792.8,80471.8
"174","Libya","Sudan","23949.2","-132.61","0.424315019434563","0.220974480276055",15992.6,14666.5,13340.4,12014.3,10688.2,9362.1
"175","Libya","Turkey","-241.000000000001","61.54","0.0867621458714539","0.677822349791744",3451.4,4066.8,4682.2,5297.6,5913,6528.4
"176","Iran, Islamic Rep.","United Arab Emirates","-9628.20000000001","1962.18","0.00725225286630549","0.934543192748501",108102.6,127724.4,147346.2,166968,186589.8,206211.6
"177","Iran, Islamic Rep.","Qatar","2341.4","52.23","0.519582085314399","0.149944495800578",5475.2,5997.5,6519.8,7042.1,7564.4,8086.7
"178","Iran, Islamic Rep.","Switzerland","926.999999999999","62.29","0.209283752860455","0.458434705721583",4664.4,5287.3,5910.2,6533.1,7156,7778.9
"179","Iran, Islamic Rep.","Australia","-2858.4","490.93","0.0142710733349052","0.898011771141395",26597.4,31506.7,36416,41325.3,46234.6,51143.9
"180","Iran, Islamic Rep.","Canada","-6222.40000000001","1505.5","0.075475145617804","0.704339324036064",84107.6,99162.6,114217.6,129272.6,144327.6,159382.6
"181","Iran, Islamic Rep.","Germany","-4724.80000000003","2549.02","0.00737476787421602","0.933818175410611",148216.4,173706.6,199196.8,224687,250177.2,275667.4
"182","Iran, Islamic Rep.","United Kingdom","-5772.60000000001","1687.23","0.0239843878413749","0.857130590948322",95461.2,112333.5,129205.8,146078.1,162950.4,179822.7
"183","Iran, Islamic Rep.","United States","-25300.8","7974.7","0.00548549697514307","0.945534925945814",453181.2,532928.2,612675.2,692422.2,772169.2,851916.2
"184","Iran, Islamic Rep.","Iraq","30069.6","-671.42","0.00400377604834688","0.955753713776711",-10215.6,-16929.8,-23644,-30358.2,-37072.4,-43786.6
"185","Iran, Islamic Rep.","Kuwait","42955.8","-495.66","0.641716785714468","0.0814044538633912",13216.2,8259.6,3303,-1653.60000000001,-6610.2,-11566.8
"186","Iran, Islamic Rep.","Lebanon","284.2","43.77","0.0713056358852596","0.714573676384077",2910.4,3348.1,3785.8,4223.5,4661.2,5098.9
"187","Iran, Islamic Rep.","Russia","-2337.2","233.72","0.181690113816209","0.5",11686,14023.2,16360.4,18697.6,21034.8,23372
"188","Iran, Islamic Rep.","Saudi Arabia","-262.8","79.35","0.0098112134150635","0.920176225305755",4498.2,5291.7,6085.2,6878.7,7672.2,8465.7
"189","Iran, Islamic Rep.","Turkey","4204.4","200.93","0.0167286142677428","0.886890745230165",16260.2,18269.5,20278.8,22288.1,24297.4,26306.7
"190","Iran, Islamic Rep.","France","6924.6","371.66","0.19418348009554","0.48075088984077",29224.2,32940.8,36657.4,40374,44090.6,47807.2
"191","Iran, Islamic Rep.","Japan","-1044.4","117.32","0.128081635146032","0.592262283885738",5994.8,7168,8341.2,9514.4,10687.6,11860.8
"192","Nepal","Afghanistan","755.599999999999","135.86","0.0201574876149395","0.872330559560721",8907.2,10265.8,11624.4,12983,14341.6,15700.2
"193","Nepal","Australia","-467.6","55.29","0.108407337459865","0.631041026178368",2849.8,3402.7,3955.6,4508.5,5061.4,5614.3
"194","Nepal","Canada","-95","22.82","0.0830908397720431","0.686268576937898",1274.2,1502.4,1730.6,1958.8,2187,2415.2
"195","Nepal","United States","-2120.8","269.54","0.085124818835359","0.681568892879405",14051.6,16747,19442.4,22137.8,24833.2,27528.6
"196","Nepal","Malaysia","100.8","52.39","0.222884000468026","0.439159332389876",3244.2,3768.1,4292,4815.9,5339.8,5863.7
"197","Nepal","Saudi Arabia","-1268.8","382.81","0.00980705962011942","0.920198380066009",21699.8,25527.9,29356,33184.1,37012.2,40840.3
"198","Nepal","Japan","-420.000000000001","67.67","0.0966788856886277","0.655786806589883",3640.2,4316.9,4993.6,5670.3,6347,7023.7
"199","Nepal","Singapore","189","12.33","0.365420350520944","0.273933250832635",928.8,1052.1,1175.4,1298.7,1422,1545.3
"200","Morocco","United Arab Emirates","-349.8","71.28","0.00727139881066797","0.93442960867396",3927,4639.8,5352.6,6065.4,6778.2,7491
"201","Morocco","Qatar","3753.4","91.08","0.624111701648564","0.0898646837512087",9218.2,10129,11039.8,11950.6,12861.4,13772.2
"202","Morocco","Switzerland","6899.4","16.96","0.899556326923611","0.00623632948634048",7917,8086.6,8256.2,8425.8,8595.4,8765
"203","Morocco","Australia","130.2","27.79","0.00757647700966605","0.932633672596936",1797.6,2075.5,2353.4,2631.3,2909.2,3187.1
"204","Morocco","Canada","-2161.20000000001","614.32","0.0099997646729516","0.919174053663669",34698,40841.2,46984.4,53127.6,59270.8,65414
"205","Morocco","Germany","4281.59999999998","1886.56","0.0159488073826453","0.890350664692507",117475.2,136340.8,155206.4,174072,192937.6,211803.2
"206","Morocco","United Kingdom","5903.4","277.43","0.247505810945477","0.406078670848354",22549.2,25323.5,28097.8,30872.1,33646.4,36420.7
"207","Morocco","United States","-3231.40000000001","1002.08","0.00595302089431761","0.942518881942604",56893.4,66914.2,76935,86955.8,96976.6,106997.4
"208","Morocco","Lebanon","-305.6","96.79","0.16067622191406","0.534149489311963",5501.8,6469.7,7437.6,8405.5,9373.4,10341.3
"209","Morocco","Saudi Arabia","-1428.4","431.02","0.00979978632190298","0.920237181120283",24432.8,28743,33053.2,37363.4,41673.6,45983.8
"210","Morocco","Sudan","8385.4","-46.63","0.422962293286843","0.222108025498964",5587.6,5121.3,4655,4188.7,3722.4,3256.1
"211","Morocco","Turkey","4122.4","13.1","0.921357557502822","0.00381985804970321",4908.4,5039.4,5170.4,5301.4,5432.4,5563.4
"212","Morocco","France","267013.4","5730.3","0.462610062871248","0.190388876417581",610831.4,668134.4,725437.4,782740.4,840043.4,897346.4
"213","Mali","Germany","-1545.2","200.18","0.183878585907734","0.49657411967723",10465.6,12467.4,14469.2,16471,18472.8,20474.6
"214","Mali","United Kingdom","-443.4","77","0.180517939820736","0.501844645149198",4176.6,4946.6,5716.6,6486.6,7256.6,8026.6
"215","Mali","United States","-179.6","32.27","0.0521812508015711","0.765239942305324",1756.6,2079.3,2402,2724.7,3047.4,3370.1
"216","Mali","Sudan","615.4","22.16","0.0145700549676406","0.896623449468598",1945,2166.6,2388.2,2609.8,2831.4,3053
"217","Mali","France","5786.6","316.8","0.577429466262071","0.114558071741086",24794.6,27962.6,31130.6,34298.6,37466.6,40634.6
"218","Mexico","Switzerland","95.4","27.41","0.174161269117456","0.511968401539173",1740,2014.1,2288.2,2562.3,2836.4,3110.5
"219","Mexico","Australia","-197","29.98","0.0276984909818283","0.843232080481907",1601.8,1901.6,2201.4,2501.2,2801,3100.8
"220","Mexico","Canada","46320","247.47","0.896193831904072","0.00666180598437658",61168.2,63642.9,66117.6,68592.3,71067,73541.7
"221","Mexico","Germany","17.3999999999999","49.3","0.130948442984281","0.58686519541134",2975.4,3468.4,3961.4,4454.4,4947.4,5440.4
"222","Mexico","United States","-650839.800000001","212400.55","0.0206934533836057","0.870140642484383",12093193.2,14217198.7,16341204.2,18465209.7,20589215.2,22713220.7
"223","Mexico","Malaysia","-687.2","91.91","0.0626870903899526","0.736586894767746",4827.4,5746.5,6665.6,7584.7,8503.8,9422.9
"224","Mexico","Russia","-5020.8","502.08","0.181690113816209","0.5",25104,30124.8,35145.6,40166.4,45187.2,50208
"225","Mexico","France","1287.4","73.67","0.175872495641203","0.509222838159192",5707.6,6444.3,7181,7917.7,8654.4,9391.1
"226","Mexico","Japan","-287","38.31","0.0426696152459012","0.793314414008675",2011.6,2394.7,2777.8,3160.9,3544,3927.1
"227","Mexico","Singapore","-298.4","46.81","0.0800804356365575","0.693320026624387",2510.2,2978.3,3446.4,3914.5,4382.6,4850.7
"228","Nigeria","Switzerland","-90.4000000000002","25.38","0.160027128662738","0.535242468649633",1432.4,1686.2,1940,2193.8,2447.6,2701.4
"229","Nigeria","Australia","-54.4000000000003","39.76","0.0077326074025666","0.931724438392438",2331.2,2728.8,3126.4,3524,3921.6,4319.2
"230","Nigeria","Canada","4050","131.61","0.497914957842538","0.164644172804227",11946.6,13262.7,14578.8,15894.9,17211,18527.1
"231","Nigeria","Germany","-1380.6","313.54","0.0913989061167576","0.667383008276151",17431.8,20567.2,23702.6,26838,29973.4,33108.8
"232","Nigeria","United Kingdom","6521.19999999999","2023.5","0.035743743932922","0.815373520979488",127931.2,148166.2,168401.2,188636.2,208871.2,229106.2
"233","Nigeria","United States","-17680.4","3403.59","0.019314921884236","0.875817482584201",186535,220570.9,254606.8,288642.7,322678.6,356714.5
"234","Nigeria","Saudi Arabia","-1039.4","313.6","0.00980611817946748","0.920203401816468",17776.6,20912.6,24048.6,27184.6,30320.6,33456.6
"235","Nigeria","Sudan","8662.8","309","0.0143773236799702","0.897517197896281",27202.8,30292.8,33382.8,36472.8,39562.8,42652.8
"236","Nigeria","France","5183.8","-20.6","0.868706473056528","0.0106712446228982",3947.8,3741.8,3535.8,3329.8,3123.8,2917.8
"237","Nigeria","Japan","-261.6","29.99","0.113373977340597","0.620947925161492",1537.8,1837.7,2137.6,2437.5,2737.4,3037.3
"238","Romania","Qatar","4047.4","43.24","0.785395890756902","0.0286837763518132",6641.8,7074.2,7506.6,7939,8371.4,8803.8
"239","Romania","Switzerland","849.999999999998","323.43","0.484478841772031","0.174174784579351",20255.8,23490.1,26724.4,29958.7,33193,36427.3
"240","Romania","Australia","3306.6","224.31","0.0166956184466302","0.887035930312266",16765.2,19008.3,21251.4,23494.5,25737.6,27980.7
"241","Romania","Canada","16693.2","740.81","0.168658288602024","0.520901306662974",61141.8,68549.9,75958,83366.1,90774.2,98182.3
"242","Romania","Germany","-5221.99999999994","16593.1","0.330848294090926","0.308733562721779",990364,1156295,1322226,1488157,1654088,1820019
"243","Romania","United Kingdom","9510.4","118.63","0.773744016013389","0.0319179759629493",16628.2,17814.5,19000.8,20187.1,21373.4,22559.7
"244","Romania","United States","72399.2","1208.57","0.177967900312173","0.505881294491481",144913.4,156999.1,169084.8,181170.5,193256.2,205341.9
"245","Romania","Lebanon","303.2","57.1","0.257610212515044","0.393130496111222",3729.2,4300.2,4871.2,5442.2,6013.2,6584.2
"246","Romania","Turkey","53723","-1150.21","0.0616791152919842","0.739243652986713",-15289.6,-26791.7,-38293.8,-49795.9,-61298,-72800.1
"247","Romania","France","32545.2","901.310000000001","0.625357272301784","0.0892510443231585",86623.8000000001,95636.9000000001,104650,113663.1,122676.2,131689.3
"248","Romania","Japan","-241","25.88","0.168998990318362","0.520343585949161",1311.8,1570.6,1829.4,2088.2,2347,2605.8
"249","Egypt, Arab Rep.","United Arab Emirates","-16774.2","3418.47","0.00725259769824381","0.934541146087058",188334,222518.7,256703.4,290888.1,325072.8,359257.5
"250","Egypt, Arab Rep.","Qatar","-8495.20000000001","1311.47","0.0367169250168871","0.812177951355403",70193,83307.7,96422.4,109537.1,122651.8,135766.5
"251","Egypt, Arab Rep.","Oman","-2730.80000000001","939.51","0.014372787000508","0.897538288002273",53639.8,63034.9,72430,81825.1,91220.2,100615.3
"252","Egypt, Arab Rep.","Switzerland","-4.60000000000042","29.89","0.153242850565838","0.546812421764774",1788.8,2087.7,2386.6,2685.5,2984.4,3283.3
"253","Egypt, Arab Rep.","Australia","18580.6","441.9","0.0162957944604366","0.888803643910325",45094.6,49513.6,53932.6,58351.6,62770.6,67189.6
"254","Egypt, Arab Rep.","Canada","875.999999999994","853.41","7.9661955216002e-05","0.996723905051025",52080.6,60614.7,69148.8,77682.9,86217,94751.1
"255","Egypt, Arab Rep.","Germany","2430","265.79","0.0262246657584542","0.848657100602482",18377.4,21035.3,23693.2,26351.1,29009,31666.9
"256","Egypt, Arab Rep.","United Kingdom","14399","301.28","0.422153441654023","0.222787601280477",32475.8,35488.6,38501.4,41514.2,44527,47539.8
"257","Egypt, Arab Rep.","United States","4300.79999999999","2688.11","0.000947711398385461","0.982974382911343",165587.4,192468.5,219349.6,246230.7,273111.8,299992.9
"258","Egypt, Arab Rep.","Iraq","1762","105.99","0.373546196318468","0.266169846208483",8121.4,9181.3,10241.2,11301.1,12361,13420.9
"259","Egypt, Arab Rep.","Jordan","-12687","2834.13","0.0114327201272632","0.91176612329833",157360.8,185702.1,214043.4,242384.7,270726,299067.3
"260","Egypt, Arab Rep.","Kuwait","15369.8","3085.22","0.0370394338769383","0.811126313542612",200483,231335.2,262187.4,293039.6,323891.8,354744
"261","Egypt, Arab Rep.","Lebanon","-7140.6","873.18","0.0651266196320046","0.730231011509411",45250.2,53982,62713.8,71445.6,80177.4,88909.2
"262","Egypt, Arab Rep.","Saudi Arabia","-91939.6000000001","27740.8","0.00980398175080133","0.920214798404619",1572508.4,1849916.4,2127324.4,2404732.4,2682140.4,2959548.4
"263","Egypt, Arab Rep.","Sudan","2364.8","-12.84","0.430665039175052","0.215702888064915",1594.4,1466,1337.6,1209.2,1080.8,952.4
"264","Egypt, Arab Rep.","Turkey","1557","-3.81000000000001","0.858423758200896","0.0124154674653017",1328.4,1290.3,1252.2,1214.1,1176,1137.9
"265","Egypt, Arab Rep.","France","7384.8","178.5","0.571400609639451","0.11799308041153",18094.8,19879.8,21664.8,23449.8,25234.8,27019.8
"266","Egypt, Arab Rep.","Japan","-200.6","25.43","0.0585734703382602","0.747546920732976",1325.2,1579.5,1833.8,2088.1,2342.4,2596.7
